left,top,width,height,conf,text
135,225,146,23,74,"Pfaffendorf,"
138,382,144,25,48,"Pfaffendorf,"
137,967,143,24,93,"Pfaffendorf,"
137,1283,286,23,91,"Pfaffendorf, Nied.- u. Ob.-"
672,288,151,24,0,"Pfaffengrund,"
660,337,166,23,59,"Pfaffenmühle,"
660,472,146,25,91,"Pfaffenſteig,"
659,518,143,23,91,"Pfaffindorf,"
660,540,134,23,87,"Pfarräcker,"
660,652,149,23,89,"Pfarrmühle,"
661,698,146,23,90,"Pfarroggen,"
664,854,105,25,54,"Pfeilgut,"
665,900,67,22,88,Pfeil-
663,945,168,22,86,"Pflaumendorf,"
661,1146,187,24,91,"Philippinenhof,"
650,1187,155,25,88,"Philippolis,"
663,1237,162,23,73,"Philippsdorf,"
661,1417,155,23,47,"Philippsfeld,"
660,1465,114,20,61,"Phaffendorf,"
661,1508,145,22,89,"Piadauſchke,"
