left,top,width,height,conf,text
287,260,422,48,63,"Piełner-Mühle,"
280,352,192,34,88,Piekok
278,529,170,48,41,"Pienki,"
278,620,246,40,42,Pierzów
262,672,198,99,47,"Pieſchz,"
278,759,391,40,50,Pieterkowice
280,862,210,46,37,"Pietna,"
272,1315,349,48,37,"Pietraschowitz,"
272,1405,287,46,0,Pietraszyn
270,1498,232,44,60,"Pietrki,"
276,1633,341,38,66,Pietrkosice
276,1679,333,46,45,"Pietrowice,"
278,1735,387,46,69,"Pietruchowe,"
274,1838,385,38,45,Pietrzkowice
268,1927,147,44,79,"Pietze,"
272,2710,202,48,76,"Pietziske,"
272,2800,163,48,85,"Pießky,"
268,2984,127,34,64,Piła
270,3076,133,42,26,"Pilawa,"
268,3120,224,44,67,"Pilawa,"
266,3255,246,48,75,"Pilchowitz,"
1326,2764,105,40,81,"Pilcz,"
1326,2810,163,40,27,"Pilczicz,"
1324,2855,165,44,90,"Piley,"
1324,2901,289,46,73,"Pilgerimishayn,"
1322,2990,297,48,60,"Pilgersdorf,"
