preprocess,lang,method,TP,FN,FP,perf_cases,sim_mean,ranking
blur,frk,2,29,1,4,13,0.849,70.737
blur,frk+deu,2,29,1,4,12,0.845,70.35
blur,frk+deu+pol,2,29,1,4,10,0.829,68.803
blur,pol+deu+frk,2,29,1,4,9,0.814,67.353
blur,deu,2,29,1,4,10,0.793,65.323
none,frk+deu+pol,2,28,2,5,15,0.858,63.413
thresh,frk+deu+pol,2,28,2,5,15,0.858,63.413
none,frk,2,28,2,5,13,0.855,63.133
thresh,frk,2,28,2,5,13,0.855,63.133
none,frk+deu,2,28,2,5,13,0.847,62.387
thresh,frk+deu,2,28,2,5,13,0.847,62.387
none,pol+deu+frk,2,28,2,6,15,0.858,61.413
thresh,pol+deu+frk,2,28,2,6,15,0.858,61.413
none,frk+deu+pol,1,28,2,3,14,0.732,55.653
none,pol+deu+frk,1,28,2,3,14,0.732,55.653
thresh,frk+deu+pol,1,28,2,3,14,0.732,55.653
thresh,pol+deu+frk,1,28,2,3,14,0.732,55.653
none,frk,1,28,2,3,12,0.729,55.373
thresh,frk,1,28,2,3,12,0.729,55.373
thresh,deu,2,28,2,6,8,0.791,55.16
none,deu,2,28,2,6,8,0.791,55.16
thresh,frk+deu,1,28,2,3,12,0.721,54.627
none,frk+deu,1,28,2,3,12,0.721,54.627
blur,frk+deu,1,28,2,3,10,0.72,54.533
blur,frk,1,28,2,3,11,0.719,54.44
blur,frk+deu+pol,1,28,2,3,8,0.704,53.04
blur,pol+deu+frk,1,28,2,3,7,0.687,51.453
blur,pol,2,29,1,4,1,0.63,49.567
none,deu,1,28,2,3,7,0.665,49.4
thresh,deu,1,28,2,3,7,0.665,49.4
blur,deu,1,28,2,4,9,0.678,48.613
none,pol,2,28,2,5,4,0.67,45.867
thresh,pol,2,28,2,5,4,0.67,45.867
blur,pol,1,28,2,3,0,0.569,40.44
none,pol,1,28,2,3,3,0.54,37.733
thresh,pol,1,28,2,3,3,0.54,37.733
