preprocess,lang,method,TP,FN,FP,perf_cases,sim_mean,ranking
blur,frk+deu+pol,1,243,72,19,91,0.802,35.392
blur,frk+deu,1,243,72,19,89,0.801,35.315
blur,pol+deu+frk,1,243,72,19,90,0.798,35.084
blur,frk,1,244,71,20,85,0.793,35.077
blur,deu,1,244,71,22,57,0.764,32.45
blur,pol,1,244,71,18,34,0.66,25.156
blur,frk,2,231,84,33,82,0.789,24.908
blur,frk+deu,2,229,86,32,83,0.796,24.471
blur,pol+deu+frk,2,229,86,31,85,0.793,24.443
blur,frk+deu+pol,2,229,86,32,83,0.794,24.326
none,frk+deu+pol,1,228,87,33,96,0.799,23.928
thresh,frk+deu+pol,1,228,87,33,96,0.799,23.928
none,pol+deu+frk,1,228,87,33,97,0.797,23.783
thresh,pol+deu+frk,1,228,87,33,97,0.797,23.783
thresh,frk+deu,1,228,87,34,92,0.796,23.52
none,frk+deu,1,228,87,34,92,0.796,23.52
none,frk,1,227,88,38,86,0.796,22.188
thresh,frk,1,227,88,38,86,0.796,22.188
blur,deu,2,229,86,32,50,0.753,21.345
none,deu,1,229,86,40,67,0.758,20.185
thresh,deu,1,229,86,40,67,0.758,20.185
none,frk+deu+pol,2,218,97,36,86,0.795,17.368
thresh,frk+deu+pol,2,218,97,36,86,0.795,17.368
thresh,pol+deu+frk,2,218,97,37,87,0.793,17.039
none,pol+deu+frk,2,218,97,37,87,0.793,17.039
thresh,frk+deu,2,218,97,39,83,0.794,16.728
none,frk+deu,2,218,97,39,83,0.794,16.728
none,frk,2,218,97,43,78,0.794,15.966
thresh,frk,2,218,97,43,78,0.794,15.966
thresh,pol,1,229,86,31,36,0.668,15.356
none,pol,1,229,86,31,36,0.668,15.356
blur,pol,2,230,85,30,29,0.65,14.762
thresh,deu,2,219,96,42,59,0.751,13.736
none,deu,2,219,96,42,59,0.751,13.736
none,pol,2,219,96,34,31,0.655,8.586
thresh,pol,2,219,96,34,31,0.655,8.586
