level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,2,8,1,1,274,1669,293,46,8,Neuendorf
5,1,7,1,3,1,1324,1966,227,39,78,Hichenbach
5,1,7,1,7,1,1322,2142,203,43,91,Richinowe
5,1,7,1,9,1,1320,2237,174,33,85,Kichinow
5,1,7,1,11,1,1320,2327,175,40,60,Richnor
5,1,7,1,13,1,1322,2417,191,40,61,Richnoie
5,1,7,1,17,1,1323,2596,217,36,90,Richtal
5,1,7,1,18,1,1319,2638,330,47,87,Nichtermühle
5,1,7,1,20,1,1318,2729,315,45,77,Richtersdorf
5,1,7,1,29,1,1319,3135,405,48,24,RichthofenSshöhe
5,1,7,1,31,1,1309,3190,141,87,13,Riczin
5,1,7,1,32,1,1318,3273,233,43,73,RNidultau
