level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,11,1,1,1,1340,259,158,38,72,Vaescon
5,1,11,2,1,1,1339,304,165,35,55,Vehilsko
5,1,11,3,1,1,1339,396,139,33,83,Veonar
5,1,11,4,1,1,1340,486,150,34,85,Vdanyn
5,1,11,5,1,1,1340,576,168,35,60,Vegbiirel
5,1,11,6,1,1,1337,664,136,41,70,Vetono
5,1,11,7,1,1,1330,706,387,44,24,Verlorenmwafier
5,1,11,8,1,1,1331,1066,100,41,70,Anth.
5,1,16,1,2,1,1331,2142,190,43,48,Nicarie
5,1,16,2,1,1,1328,2231,360,46,85,Vicariengrund
5,1,16,3,1,1,1330,2375,172,44,93,Victor
5,1,16,4,1,1,1331,2475,392,46,91,Victorkretſcham
5,1,16,5,1,1,1335,2576,374,43,73,Niedweidmühle
5,1,16,6,1,1,1335,2676,188,43,75,Wichau
5,1,16,7,1,1,1330,3309,340,43,89,Hohenvorwerk
