level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,2,1,1,1,271,280,197,46,90,"Dahſau,"
5,1,2,2,1,1,270,725,329,41,90,"Heidevorwerk,"
5,1,2,3,1,1,269,768,304,46,84,"Dalbersdorf,"
5,1,2,4,1,1,267,1218,198,41,31,"Neutgut,"
5,1,2,5,1,1,267,1259,194,46,49,"Daley,"
5,1,2,6,1,1,267,1301,245,38,62,Dalinö
5,1,2,7,1,1,267,1346,185,45,90,"Dalkau,"
5,1,2,8,1,1,270,2147,232,43,89,"Dallanau,"
5,1,2,9,1,1,269,2234,225,45,80,"Dallenan,"
5,1,2,10,1,1,269,2323,314,48,91,"Dallwigsruh,"
5,1,2,11,1,1,269,2367,229,46,91,"Damasko,"
5,1,2,14,1,1,271,2944,262,46,90,"Damaskus,"
5,1,2,15,1,1,271,3033,157,45,90,"Damb,"
5,1,2,16,1,1,274,3125,172,52,42,"Dambici,"
5,1,2,17,1,1,275,3172,179,48,56,"Dambicz,"
5,1,2,18,1,1,274,3212,224,54,90,"Dambine,"
5,1,2,19,1,1,274,3256,271,46,49,"Dambinieß,"
5,1,4,2,1,1,1323,451,257,44,47,"Dambitſch,"
5,1,4,3,1,1,1326,853,238,42,31,"Danmbrau,"
5,1,4,4,1,1,1326,1966,277,44,41,"Dambritich,"
5,1,4,5,1,1,1329,2501,394,39,44,"Neu-Dambritſ<,"
5,1,4,6,1,1,1329,2551,179,35,78,"Dambror,"
5,1,4,7,1,1,1329,2596,210,36,39,"Dambrowa,"
5,1,4,8,1,1,1327,2637,278,41,37,"Dambrowa,"
5,1,4,9,1,1,1327,2730,232,36,0,"Dambrowct,"
5,1,4,10,1,1,1329,2819,234,38,67,"Dambrouka,"
5,1,4,11,1,1,1329,2908,268,37,33,"Dumiansdorfl,"
5,1,4,12,1,1,1329,2996,229,40,40,"Damkowicz,"
5,1,4,13,1,1,1329,3036,295,45,73,"Dammelwit,"
