level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,3,1,2,1,130,334,98,49,47,"Pieſchz,"
5,1,3,2,1,1,138,377,194,20,50,Pleterkowice
5,1,3,3,1,1,139,428,104,23,37,"Piletnma,"
5,1,3,4,1,1,135,653,173,24,37,"Pietrafchoiwig,"
5,1,3,6,1,1,134,744,115,22,60,"Pletrki,"
5,1,3,7,1,1,137,811,169,19,66,Pietrkosiee
5,1,3,8,1,1,137,834,165,23,45,"Pijietrowice,"
5,1,3,9,1,1,138,862,192,23,69,"Pletruchowe,"
5,1,3,10,1,1,136,913,191,19,45,Pieirzkowiee
5,1,3,11,1,1,133,957,73,22,79,"Pietze,"
5,1,3,14,1,1,135,1346,100,24,76,"Pietziske,"
5,1,3,15,1,1,135,1391,81,24,85,"Pießky,"
5,1,3,16,1,1,133,1482,63,17,64,Pita
5,1,3,17,1,1,134,1528,66,21,26,"Füawa,"
5,1,3,18,1,1,133,1550,111,22,67,"Pilawa,"
5,1,3,19,1,1,132,1617,122,24,75,"Pilchowit,"
5,1,5,1,56,1,657,1373,52,20,81,"Pitez,"
5,1,5,1,57,1,657,1396,81,20,27,"Pilczicz,"
5,1,5,1,58,1,656,1418,82,22,90,"Piley,"
5,1,5,1,59,1,656,1441,143,23,73,"Pitgerimishayn,"
5,1,5,1,61,1,655,1485,147,24,60,"Pilgersdorf,"
