level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,3,4,1,1,270,1518,341,41,18,ft) Rother Grund
5,1,3,5,1,1,279,1654,452,41,31,ge) Hohen-Billerthal
5,1,3,6,1,1,278,1784,303,46,31,Eenfersdorf
5,1,3,7,1,1,275,1832,263,42,91,Seyfredisdorf
5,1,3,8,1,1,273,1923,197,32,90,Sei endorff
5,1,3,9,1,1,271,2021,254,47,0,Soprfelliß
5,1,3,10,1,1,273,2486,155,40,91,Sheditz
5,1,3,11,1,1,274,2531,190,41,76,Shutilowe
5,1,3,12,1,1,274,2621,564,35,66,Sindia Gora if Schadegur
5,1,3,13,1,1,278,2711,561,36,69,Siaikowice it Schalfowig
5,1,3,14,1,1,279,2757,697,35,85,Siamarzowice it Schammerwis
5,1,3,15,1,1,284,2855,227,46,84,Sibifchan
5,1,3,16,1,1,280,3275,224,40,87,Sibotendorf
5,1,6,1,1,1,1334,1154,121,44,20,aM.
5,1,6,2,1,1,1325,1192,427,43,77,SidIow ist Schiedlow
5,1,6,2,2,1,1325,1244,316,43,86,Siebeneichen
5,1,6,4,1,1,1325,2055,202,40,46,vb) Höllau
5,1,6,5,1,1,1325,2231,328,45,50,Sicbenhänfer
5,1,6,6,1,1,1322,2320,329,45,83,Siebeuhäufer
5,1,6,7,1,1,1326,2460,243,37,91,Siebenhuben
5,1,6,8,1,1,1326,2591,312,46,74,Siebenhufen
5,1,6,9,1,1,1325,2727,306,45,89,Siebenhufen
5,1,6,10,1,1,1325,2818,306,44,72,Siebenhufen
5,1,6,12,1,1,1323,3221,308,47,64,Siebenhufen
