level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,2,2,1,1,270,348,234,44,80,Riebichau
5,1,2,5,1,1,270,1207,237,44,80,Liebichan
5,1,2,6,1,1,271,1664,85,34,93,Der
5,1,2,7,1,1,271,1751,235,43,90,Liebichau
5,1,2,9,1,1,274,2337,322,47,90,Chriſtinenhof
5,1,2,10,1,1,274,2391,42,30,44,B.
5,1,2,11,1,1,274,2564,263,44,89,Lieboſchüß
5,1,2,12,1,1,275,2611,235,43,37,Liebſchüt
5,1,2,13,1,1,280,3107,243,47,92,Liebsdorf
5,1,2,14,1,1,282,3198,241,45,89,Liebsdorf
5,1,5,1,1,1,1335,1176,219,47,42,Liebshof
5,1,5,2,1,1,1334,1224,226,44,91,Liebſtein
5,1,5,3,1,1,1336,1596,192,46,61,Liednitz
5,1,5,4,1,1,1334,1880,190,47,96,Liegnitz
5,1,5,5,1,1,1332,1970,214,47,87,Liepowiß
5,1,5,6,1,1,1331,2061,194,45,88,Liepsa
5,1,5,7,1,1,1330,2106,250,46,89,Liergrund
5,1,5,8,1,1,1330,2199,137,39,90,Liesch
5,1,5,9,1,1,1331,2285,216,44,84,Liesdorf
5,1,5,10,1,1,1331,2332,167,35,54,Ljenk
5,1,5,11,1,1,1332,2375,197,44,89,Lieskan
5,1,5,12,1,1,1331,2510,162,46,91,Lieske
5,1,5,13,1,1,1331,2964,303,44,37,LiesSvorwerk
5,1,5,14,1,1,1331,3056,203,43,88,Ligota
5,1,5,15,1,1,1331,3102,189,44,90,Ligota
5,1,5,16,1,1,1332,3194,124,40,90,Ligota
5,1,5,17,1,1,1332,3284,191,43,90,Ligota
