level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,2,1,1,1,215,259,132,43,26,bifdhen
5,1,4,1,1,1,1266,272,78,25,87,man
5,1,4,4,1,1,1332,985,256,44,42,Buchwalą
5,1,4,5,1,1,1331,1439,221,42,61,Waldhof
5,1,4,6,1,1,1329,1492,272,43,57,Wsechiwalde
5,1,4,7,1,1,1330,1819,268,44,1,MBuchivalve
5,1,4,8,1,1,1326,2137,269,44,54,wWuchiwalde
5,1,4,9,1,1,1326,2231,301,40,48,Buchwaldsdorff
5,1,4,10,1,1,1323,2323,210,35,36,Buchwaldt
5,1,4,11,1,1,1321,2366,338,34,0,EHuclwalow
5,1,4,12,1,1,1322,2414,193,37,83,Buchwalt
5,1,4,13,1,1,1322,2503,272,41,90,Buchweldchin
5,1,4,14,1,1,1322,2592,296,41,90,Buchweldichen
5,1,4,15,1,1,1319,2691,223,46,21,Wuchwik
5,1,4,16,1,1,1319,3066,189,43,19,Bucdau
