level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,2,1,1,1,219,276,64,43,37,doh
5,1,2,2,1,1,279,455,292,45,0,Pfaffendorf
5,1,2,3,1,1,287,770,350,48,32,Pfaffendorf
5,1,2,4,1,1,287,909,102,43,90,Anth.
5,1,2,5,1,1,280,1469,100,72,90,Anth.
5,1,2,7,1,1,284,1940,285,46,89,Pfaffendorf
5,1,2,8,1,1,284,2572,285,45,94,Pfaffendorf
5,1,4,1,1,1,1260,276,57,41,35,9.
5,1,4,2,1,1,1330,412,254,43,77,Feldhäufer
5,1,4,4,1,1,1330,679,332,46,42,Pfaffenmühle
5,1,4,5,1,1,1330,949,291,49,73,Pfaffensteig
5,1,4,6,1,1,1329,1041,285,45,70,Pfaffindorf
5,1,4,7,1,1,1330,1086,268,44,82,Pfarräcker
5,1,4,8,1,1,1331,1310,297,46,89,Pfarrmühle
5,1,4,9,1,1,1332,1400,291,47,91,Pfarroggen
5,1,4,10,1,1,1338,1714,209,48,56,Pfeilgnt
5,1,4,11,1,1,1340,1805,134,43,42,Pfeil:
5,1,4,12,1,1,1336,1895,336,44,78,Pflaumendorf
5,1,4,14,1,1,1332,2388,287,55,86,Philippolis
5,1,4,15,1,1,1336,2479,323,46,90,Philippsdorf
5,1,4,16,1,1,1332,2840,309,45,30,Phitipvpsfeld
5,1,4,17,1,1,1330,2935,228,40,36,Phaffendorf
