level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,2,1,1,1,284,267,159,37,39,EFlakä
5,1,2,2,1,1,284,356,198,50,92,Flegelei
5,1,2,5,1,1,287,675,230,37,91,Fieischoern
5,1,2,6,1,1,288,807,261,41,46,Hlemigisdorff
5,1,2,8,1,1,290,1121,201,52,91,Flögelei
5,1,2,10,1,1,293,1301,275,52,50,Flößihäuſer
5,1,2,11,1,1,293,1389,401,53,34,Flößwärterhaus
5,1,2,12,1,1,299,1483,300,42,42,EFloreizna
5,1,2,13,1,1,297,1570,301,51,60,Florensdorf
5,1,2,14,1,1,274,1595,283,110,94,Florentine
5,1,2,15,1,1,300,1708,198,50,68,Florian
5,1,2,17,1,1,299,1798,182,50,92,Florian
5,1,2,19,1,1,309,2630,290,52,75,Florianshof
5,1,2,20,1,1,293,2728,260,66,24,‚Florspors
5,1,7,1,4,1,1353,388,275,46,65,luchthäufer
5,1,7,2,1,1,1330,478,301,48,91,Fluchthänſer
5,1,7,3,1,1,1331,572,236,39,88,Fochswinkil
5,1,7,4,1,1,1332,613,227,49,62,Förſtc<en
5,1,7,7,1,1,1338,1202,220,48,95,Förſterei
5,1,7,8,1,1,1339,1429,211,46,91,Förſtgen
5,1,7,9,1,1,1347,2470,235,37,56,Fogelgyesung
5,1,7,10,1,1,1344,2516,219,37,90,Fogelsdorff
5,1,7,11,1,1,1349,2561,222,37,45,Fogelsdorft
5,1,7,13,1,1,1351,2647,129,48,96,Folge
5,1,7,14,1,1,1357,2737,284,49,79,Folgehäufer
5,1,7,15,1,1,1358,2827,286,49,88,Folgemühle
5,1,7,16,1,1,1358,2919,218,47,76,Folgenan
5,1,7,17,1,1,1358,3008,323,49,80,Folgenhäufer
5,1,7,18,1,1,1357,3098,310,49,80,Follmersdorf
