level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,6,1,1,1,1265,268,196,42,44,Datrim.$
5,1,6,2,1,1,1331,669,266,46,14,Stallendorf
5,1,6,3,1,1,1334,1206,435,47,16,Salligel-Borwert
5,1,6,4,1,1,1331,1296,240,44,24,KMK.allina
5,1,6,6,1,1,1332,1922,181,36,82,Kalinauu
5,1,6,7,1,1,1332,1965,144,42,46,HKały
5,1,6,8,1,1,1334,2008,183,44,67,Stalmfe
5,1,6,9,1,1,1331,2098,287,44,18,HMalowiee
5,1,6,10,1,1,1332,2186,232,46,26,Sialtafdhe
5,1,6,11,1,1,1332,2275,220,45,42,Saltovrf
5,1,6,12,1,1,1332,2635,365,43,32,Gidheltretfdhham
5,1,6,13,1,1,1330,2723,129,37,75,Stalte
5,1,6,14,1,1,1331,2857,359,47,16,Staltebortfichen
5,1,2,2,1,1,270,586,202,43,0,KMHalita
5,1,2,3,1,1,275,675,176,44,65,Salfau
5,1,2,7,1,1,267,1167,209,39,50,Zujammen:
5,1,2,8,1,1,278,1787,224,46,27,Staltberg
5,1,2,9,1,1,274,1832,247,43,12,Salfbruch
